hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
12,5,True,5,31,12.4,1.2,rain,75,3.2,21,tramwaj,HL421,21-03,Os.Piastów–Pleszów,Os.Piastów,Rondo Kocmyrzowskie im. Ks. Gorzelanego 01,30,1.0,slight_delay,0.03333333333333333,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,5,tramwaj,RF305,5-01,Jarzębiny–Krowodrza,Jarzębiny,Darwina 01,30,1.0,slight_delay,0.03333333333333333,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,78,tramwaj,HL440,78-02,Salwator–Krowodrza Górka,Krowodrza G. P+R,Stary Kleparz 02,30,1.0,slight_delay,0.03333333333333333,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,24,tramwaj,HY873,24-01,Bronowice–Kurdwanów,Bronowice Małe,Bieżanowska 04,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,24,tramwaj,RY835,24-03,Bronowice–Kurdwanów,Kurdwanów P+R,Miodowa 01,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,22,tramwaj,HY860,22-06,Borek Fałęcki–Kopiec Wandy,Kopiec Wandy,Plac Wolnica 02,40,1.0,slight_delay,0.025,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,52,tramwaj,HG931,52-03,Czerwone Maki–Os.Piastów,Os.Piastów,Rondo Matecznego 02,30,1.0,slight_delay,0.03333333333333333,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,22,tramwaj,HY738,22-01,Borek Fałęcki–Kopiec Wandy,Borek Fałęcki,Kościuszkowców 0_,40,1.0,slight_delay,0.025,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,72,tramwaj,RF322,72-06,Rondo Grunwaldzkie–Czerwone Maki,Rondo Grunwaldzkie,Chmieleniec 02,25,1.0,slight_delay,0.04,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,18,tramwaj,HY743,18-05,Górka Narodowa–Czerwone Maki,Czerwone Maki P+R,Poczta Główna 01,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,20,tramwaj,RY826,20-04,Mały Płaszów–Cichy Kącik,Cichy Kącik,Teatr Słowackiego 01,20,1.0,slight_delay,0.05,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,3,tramwaj,HY872,3-04,Nowy Bieżanów–Krowodrza,Krowodrza G. P+R,Szpital Narutowicza 01,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,14,tramwaj,RY889,14-06,Bronowice–Miśnieńska,Miśnieńska,UKEN 02,25,1.0,slight_delay,0.04,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,3,tramwaj,HY855,3-05,Nowy Bieżanów–Krowodrza,Krowodrza G. P+R,Podgórze SKA 02,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,5,tramwaj,RF306,5-04,Jarzębiny–Krowodrza,Krowodrza G. P+R,Dworzec Towarowy 01,30,1.0,slight_delay,0.03333333333333333,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,50,tramwaj,HY740,50-09,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Górka Narodowa P+R 01,45,1.0,slight_delay,0.022222222222222223,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,20,tramwaj,RY811,20-02,Mały Płaszów–Cichy Kącik,Mały Płaszów P+R,Muzeum Narodowe 02,20,1.0,slight_delay,0.05,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,78,tramwaj,HL412,78-04,Salwator–Krowodrza Górka,Salwator,Bratysławska 02,30,1.0,slight_delay,0.03333333333333333,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,9,tramwaj,RY813,9-04,Rondo Hipokratesa–Nowy Bieżanów,Nowy Bieżanów P+R,Zabłocie 01,40,1.0,slight_delay,0.025,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,24,tramwaj,HY845,24-02,Bronowice–Kurdwanów,Kurdwanów P+R,Witosa 01,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,24,tramwaj,RY801,24-04,Bronowice–Kurdwanów,Kurdwanów P+R,Bronowice 02,35,1.0,slight_delay,0.02857142857142857,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,9,tramwaj,HY737,9-03,Rondo Hipokratesa–Nowy Bieżanów,Nowy Bieżanów P+R,Ćwiklińskiej 01,40,1.0,slight_delay,0.025,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,4,tramwaj,RG905,4-01,Bronowice–Nowa Huta,Zaj. Nowa Huta,Teatr Słowackiego 02,40,1.0,slight_delay,0.025,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,14,tramwaj,HY713,14-04,Bronowice–Miśnieńska,Miśnieńska,Dunikowskiego 01,25,1.0,slight_delay,0.04,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,5,tramwaj,RF327,5-02,Jarzębiny–Krowodrza,Jarzębiny,Białucha 01,30,1.0,slight_delay,0.03333333333333333,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,50,tramwaj,HY866,50-11,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Piaski Nowe 02,45,1.0,slight_delay,0.022222222222222223,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,77,tramwaj,RP637,77-05,Nowy Bieżanów–Dworzec Towarowy,Dworzec Towarowy,Bieżanowska 02,25,1.0,slight_delay,0.04,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,11,tramwaj,HL432,11-01,Czerwone Maki–Mały Płaszów,Mały Płaszów P+R,Kurdwanów P+R 03,30,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,77,tramwaj,HL429,77-01,Nowy Bieżanów–Dworzec Towarowy,Nowy Bieżanów P+R,Prokocim Szpital 01,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,50,tramwaj,HY847,50-02,Borek Fałęcki–Górka Narodowa,Borek Fałęcki,Krowodrza Górka P+R 02,45,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,8,tramwaj,RY881,8-05,Bronowice–Borek Fałęcki,Bronowice Małe,Rondo Matecznego 02,35,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,77,tramwaj,RP602,77-04,Nowy Bieżanów–Dworzec Towarowy,Dworzec Towarowy,Rondo Grzegórzeckie 03,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,1,tramwaj,RF331,1-06,Salwator–Jarzębiny,Jarzębiny,Rondo Czyżyńskie 03,45,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,50,tramwaj,HY720,50-08,Borek Fałęcki–Górka Narodowa,Kurdwanów P+R,Górka Narodowa P+R 01,45,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,14,tramwaj,HY734,14-05,Bronowice–Miśnieńska,Miśnieńska,Fabryczna 01,25,0.0,on_time,0.0,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,22,tramwaj,RY824,22-05,Borek Fałęcki–Kopiec Wandy,Kopiec Wandy,Rondo 308. Dywizjonu 01,40,0.0,on_time,0.0,False
