hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
12,5,True,5,31,24.47,0.0,clouds,25,6.17,4,tramwaj,RG913,4-02,Bronowice–Nowa Huta,Zaj. Nowa Huta,Rondo Czyżyńskie 01,40,2.0,slight_delay,0.05,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,78,tramwaj,HL424,78-01,Salwator–Krowodrza Górka,Salwator,Komorowskiego 01,30,2.0,slight_delay,0.06666666666666667,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,HY864,50-12,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Rondo Grzegórzeckie 03,45,2.0,slight_delay,0.044444444444444446,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,72,tramwaj,RF325,72-03,Rondo Grunwaldzkie–Czerwone Maki,Rondo Grunwaldzkie,Kobierzyńska 02,25,2.0,slight_delay,0.08,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,11,tramwaj,RP644,11-03,Czerwone Maki–Mały Płaszów,Mały Płaszów P+R,Sanktuarium Bożego Miłosierdzia 01,30,2.0,slight_delay,0.06666666666666667,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,10,tramwaj,HY721,10-05,Kurdwanów–Pleszów,Pleszów,Stella-Sawickiego 01,25,2.0,slight_delay,0.08,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,HY847,50-02,Borek Fałęcki–Górka Narodowa,Borek Fałęcki,Sanktuarium Bożego Miłosierdzia 02,45,2.0,slight_delay,0.044444444444444446,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,HY740,50-09,Borek Fałęcki–Górka Narodowa,Kurdwanów P+R,Politechnika 04,45,2.0,slight_delay,0.044444444444444446,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,52,tramwaj,RG904,52-07,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Ruczaj 01,30,2.0,slight_delay,0.06666666666666667,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,HY720,50-08,Borek Fałęcki–Górka Narodowa,Kurdwanów P+R,Dauna 01,45,2.0,slight_delay,0.044444444444444446,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,24,tramwaj,RY801,24-04,Bronowice–Kurdwanów,Kurdwanów P+R,Nowosądecka 01,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,24,tramwaj,HY845,24-02,Bronowice–Kurdwanów,Bronowice Małe,Teatr Słowackiego 03,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,20,tramwaj,HY716,20-03,Mały Płaszów–Cichy Kącik,Mały Płaszów P+R,Klimeckiego 01,20,1.0,slight_delay,0.05,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,18,tramwaj,RY837,18-01,Górka Narodowa–Czerwone Maki,Czerwone Maki P+R,Bociana 02,35,1.0,slight_delay,0.02857142857142857,False
